AR                 0   136.500     3.330     0.000     0.000     0.000	39.948
C                  0    71.400     3.298     0.000     0.000     0.000 	12.017
C2                 1    97.530     3.621     0.000     1.760     4.000	24.034
C2O                1   232.400     3.828     0.000     0.000     1.000 	40.020
CN2                1   232.400     3.828     0.000     0.000     1.000 	40.024
C2H                1   209.000     4.100     0.000     0.000     2.500	25.029
C2H2               1   209.000     4.100     0.000     0.000     2.500	26.037
C2H2OH             2   224.700     4.162     0.000     0.000     1.000 	43.045
C2H3               2   209.000     4.100     0.000     0.000     1.000 	27.045
C2H4               2   280.800     3.971     0.000     0.000     1.500	28.053	
C2H5               2   252.300     4.302     0.000     0.000     1.500	29.061
C2H6               2   252.300     4.302     0.000     0.000     1.500	30.069
C2N                1   232.400     3.828     0.000     0.000     1.000 	38.028
C2N2               1   349.000     4.361     0.000     0.000     1.000 	52.035
C3H2               2   209.000     4.100     0.000     0.000     1.000	38.048
C3H4               1   252.000     4.760     0.000     0.000     1.000	40.064
C3H6               2   266.800     4.982     0.000     0.000     1.000	42.080
C3H7               2   266.800     4.982     0.000     0.000     1.000	43.088
C4H6               2   357.000     5.180     0.000     0.000     1.000	54.090
I*C3H7             2   266.800     4.982     0.000     0.000     1.000	43.055
N*C3H7             2   266.800     4.982     0.000     0.000     1.000	43.088
C3H8               2   266.800     4.982     0.000     0.000     1.000	44.096
C4H                1   357.000     5.180     0.000     0.000     1.000	49.051
C4H2               1   357.000     5.180     0.000     0.000     1.000	50.059
C4H2OH             2   224.700     4.162     0.000     0.000     1.000 	67.066
C4H8               2   357.000     5.176     0.000     0.000     1.000	56.106
C4H9               2   357.000     5.176     0.000     0.000     1.000	57.114
I*C4H9             2   357.000     5.176     0.000     0.000     1.000	57.114
C5H2               1   357.000     5.180     0.000     0.000     1.000	62.069
C5H3               1   357.000     5.180     0.000     0.000     1.000	63.077
C6H2               1   357.000     5.180     0.000     0.000     1.000	74.080
C6H5               2   412.300     5.349     0.000     0.000     1.000 	77.104
C6H5O              2   450.000     5.500     0.000     0.000     1.000 	93.1033
C5H5OH             2   450.000     5.500     0.000     0.000     1.000 	82.101
C6H6               2   412.300     5.349     0.000     0.000     1.000 	78.112
C6H7               2   412.300     5.349     0.000     0.000     1.000 	79.120
CH                 1    80.000     2.750     0.000     0.000     0.000	13.019
CH2                1   144.000     3.800     0.000     0.000     0.000	14.027
CH2(S)             1   144.000     3.800     0.000     0.000     0.000	14.027
CH2*               1   144.000     3.800     0.000     0.000     0.000	14.027
CH2CHCCH           2   357.000     5.180     0.000     0.000     1.000 	52.075
CH2CHCCH2          2   357.000     5.180     0.000     0.000     1.000 	53.083
CH2CHCH2           2   260.000     4.850     0.000     0.000     1.000 	41.072
CH2CHCHCH          2   357.000     5.180     0.000     0.000     1.000 	53.083
CH2CHCHCH2         2   357.000     5.180     0.000     0.000     1.000 	54.090
CH2CO              2   436.000     3.970     0.000     0.000     2.000	42.037
CH2O               2   498.000     3.590     0.000     0.000     2.000	30.026
CH2OH              2   417.000     3.690     1.700     0.000     2.000	31.034
CH3                1   144.000     3.800     0.000     0.000     0.000	25.029
CH3CC              2   252.000     4.760     0.000     0.000     1.000 	39.056
CH3CCCH2           2   357.000     5.180     0.000     0.000     1.000 	53.083
CH3CCCH3           2   357.000     5.180     0.000     0.000     1.000 	54.090
CH3CCH2            2   260.000     4.850     0.000     0.000     1.000 	41.072
CH3CHCH            2   260.000     4.850     0.000     0.000     1.000 	41.072
CH3CH2CCH          2   357.000     5.180     0.000     0.000     1.000 	54.090
CH3CHO             2   436.000     3.970     0.000     0.000     2.000	44.053
CH2CHO             2   436.000     3.970     0.000     0.000     2.000	43.045
CH3CO              2   436.000     3.970     0.000     0.000     2.000	43.045
CH3O               2   417.000     3.690     1.700     0.000     2.000	31.034
CH3OH              2   481.800     3.626     0.000     0.000     1.000 	32.042
CH4                2   141.400     3.746     0.000     2.600    13.000	16.042
CH4O               2   417.000     3.690     1.700     0.000     2.000	32.042
CN                 1    75.000     3.856     0.000     0.000     1.000 	26.017
CNC                1   232.400     3.828     0.000     0.000     1.000 	38.028
CNN                1   232.400     3.828     0.000     0.000     1.000 	40.024
CO                 1    98.100     3.650     0.000     1.950     1.800	28.010
CO2                1   244.000     3.763     0.000     2.650     2.100	44.010
H                  0   145.000     2.050     0.000     0.000     0.000	 1.008
H2C4O              2   357.000     5.180     0.000     0.000     1.000 	66.058
H2                 1    38.000     2.920     0.000     0.790   280.000	 2.016
H2CCCCH            2   357.000     5.180     0.000     0.000     1.000 	51.067
H2CCCCH2           2   357.000     5.180     0.000     0.000     1.000 	52.075
H2CCCH             2   252.000     4.760     0.000     0.000     1.000 	39.056
H2CN               1   569.000     3.630     0.000     0.000     1.000 	28.033
H2NO               2   116.700     3.492     0.000     0.000     1.000 	32.022
H2O                2   572.400     2.605     1.844     0.000     4.000	18.015
H2O2               2   107.400     3.458     0.000     0.000     3.800	34.015
HC2N2              1   349.000     4.361     0.000     0.000     1.000 	53.043
HCCHCCH            2   357.000     5.180     0.000     0.000     1.000 	51.067
HCCO               2   150.000     2.500     0.000     0.000     1.000 	41.029
HCNN               2   150.000     2.500     0.000     0.000     1.000 	41.032
HCCOH              2   436.000     3.970     0.000     0.000     2.000	42.037
HCN                1   569.000     3.630     0.000     0.000     1.000 	27.025
HCO                2   498.000     3.590     0.000     0.000     0.000	29.018
HE                 0    10.200     2.576     0.000     0.000     0.000 	 4.003
HCNO               2   232.400     3.828     0.000     0.000     1.000 	43.025
HOCN               2   232.400     3.828     0.000     0.000     1.000 	43.025
HNCO               2   232.400     3.828     0.000     0.000     1.000 	43.028
HNNO               2   232.400     3.828     0.000     0.000     1.000 	45.021
